BREVITEST,,,,,,,,,,,,,,,Datasheet Box Link: https://app.box.com/folder/379359319033,,,,,,,,,,,,,,,,,,,,,,,,
Tag #,Equiment,Bench/Floor,Location,QTY,Dimensions (Inches),,,Power,Watts,Amps,Generator,Notes,Location,Total Linch,Datasheet URL,,,,,,,,,,,,,,,,,,,,,,,,
Spec Sheet,,,,,W,D,H,,,,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-62,hot plate 1,Bench,B-21,,15,11,5,120,50,0.42,,,Open Lab,,https://www.fishersci.com/shop/products/isotemp-stirrer/S88850200#?keyword=s88850200,,,,,,,,,,,,,,,,,,,,,,,,
E-63,hot plate 2,Bench,B-21,,15,11,5,120,100,0.83,,,Open Lab,,https://spwindustrial.com/premiere-xh-2002-slide-warmer-small-23-slide-capacity-1/?gad_source=1&gad_campaignid=17426985257&gbraid=0AAAAADNyV7zhN_HOsTnyjHf3Bx7hSSjbV&gclid=CjwKCAjwtcHPBhADEiwAWo3sJvGXhq4ZU__sOs_LR2cvI-19hDTQS59fIs8j3fMneSJDKaJ-2L0r7xoCicQQAvD_BwE,,,,,,,,,,,,,,,,,,,,,,,,
E-64,sonicator,Bench,B-21,,9,10,7,120,160,1.45,,,Open Lab,,https://www.zoro.com/isonic-ultrasonic-cleaner-2l-21-qt-heater-timer-for-jewelry-optical-and-reloading-use-p4810/i/G216213314/?utm_source=google&utm_medium=surfaces&utm_campaign=shopping%20feed&utm_content=free%20google%20shopping%20clicks&campaignid=392559248&productid=G216213314&v=&gclsrc=aw.ds&gad_source=1&gad_campaignid=392559248&gbraid=0AAAAADw3hZfGTV0P47_V_VZ0j6sxYtIgp&gclid=CjwKCAjwtcHPBhADEiwAWo3sJjn1hPaTI_YKjXsg3t06HOB-_tsduYWxx_CNABOxnL7UAdcVOQuWDBoC0mEQAvD_BwE,,,,,,,,,,,,,,,,,,,,,,,,
E-65,Lenovo Laptop (Spec),Bench,B-04,1,12.51,9.05,0.6,120,100,0.83,,,Manufacturing,,https://psrefstuff.lenovo.com/syspool/Sys/PDF/datasheet/Yoga_9_14IAP7_datasheet_EN.pdf,,,,,,,,,,,,,,,,,,,,,,,,
E-66,bead bath 1,Bench,B-21,,14,8,9,120,500,5,,,Open Lab,,https://www.coleparmer.com/p/lab-armor-waterless-bead-baths/61739?Ntt=bead+bath,,,,,,,,,,,,,,,,,,,,,,,,
E-67,bead bath 2,Bench,B-11,,14,8,9,120,500,5,,,Open Lab,,https://www.coleparmer.com/p/lab-armor-waterless-bead-baths/61739?Ntt=bead+bath,,,,,,,,,,,,,,,,,,,,,,,,
E-68,file cabinet,UC,B-11,,19,15,28,N/A,N/A,N/A,,,Open Lab,,,,,,,,,,,,,,,,,,,,,,,,,,
E-69,computer (mac),Bench,B-11,,20,24,19,120,143,1.19,,,Open Lab,,https://www.apple.com/imac/specs/,,,,,,,,,,,,,,,,,,,,,,,,
E-70,pipette holders 1,Bench,B-05,,12,6,8,N/A,N/A,N/A,,,Open Lab,,,,,,,,,,,,,,,,,,,,,,,,,,
E-71,pipette holders 2,Bench,B-11,,12,6,8,N/A,N/A,N/A,,,Open Lab,,,,,,,,,,,,,,,,,,,,,,,,,,
E-72,pipette holders 3,Bench,B-21,,12,6,8,N/A,N/A,N/A,,,Open Lab,,,,,,,,,,,,,,,,,,,,,,,,,,
E-73,pipette holders 4,Bench,B-23,,12,6,8,N/A,N/A,N/A,,,Open Lab,,,,,,,,,,,,,,,,,,,,,,,,,,
E-74,pipette holders 5,Bench,B-23,,12,6,8,N/A,N/A,N/A,,,Open Lab,,,,,,,,,,,,,,,,,,,,,,,,,,
E-75,Laser Cutter,Bench,B-33,,38,27,8,120,800,6.67,,,Prototyping,,https://glowforge.com/b/tech-specs/performance,,,,,,,,,,,,,,,,,,,,,,,,
E-76,CNC machine,Bench,B-34,1,20,18,17,120,240,2,,,Prototyping,,https://carbide3d.com/nomad/detail/,,,,,,,,,,,,,,,,,,,,,,,,
E-77,Form Printer,Bench,,1,16,12,23,120,,,,,Prototyping,,,,,,,,,,,,,,,,,,,,,,,,,,
E-78,Form Wash,Bench,B-33,1,10,10,13,120,50,2,,,Prototyping,,https://formlabs.com/store/post-processing/form-wash/,,,,,,,,,,,,,,,,,,,,,,,,
E-79,Form Cure,Bench,B-33,1,10,10,13,120,144,6,,,Prototyping,,https://formlabs.com/global/products/form-cure-1st-gen/,,,,,,,,,,,,,,,,,,,,,,,,
E-80,Elegoo,Bench,B-34,1,12,11,22,120,144,6,,,Prototyping,,https://www.amazon.com/dp/B0C5JM4WF6?ref=cm_sw_r_cp_ud_dp_G5VZKS6NSFM34341WEME&ref_=cm_sw_r_cp_ud_dp_G5VZKS6NSFM34341WEME&social_share=cm_sw_r_cp_ud_dp_G5VZKS6NSFM34341WEME,,,,,,,,,,,,,,,,,,,,,,,,
E-81,Incubator #1,Bench,B-05,1,5.9,4.3,3.9,120,60,0.5,,,,,https://www.hinotek.com/lab/minit-100/,,,,,,,,,,,,,,,,,,,,,,,,
E-82,Incubator #2,Bench,B-05,1,5.9,4.3,3.9,120,60,0.5,,,,,https://www.hinotek.com/lab/minit-100/,,,,,,,,,,,,,,,,,,,,,,,,
E-83,Incubator #3,Bench,B-05,1,5.9,4.3,3.9,120,60,0.5,,,,,https://www.hinotek.com/lab/minit-100/,,,,,,,,,,,,,,,,,,,,,,,,
E-84,Incubator #4,Bench,B-05,1,5.9,4.3,3.9,120,60,0.5,,,,,https://www.hinotek.com/lab/minit-100/,,,,,,,,,,,,,,,,,,,,,,,,
E-85,Heating Pad,Bench,B-05,1,3.15,3.94,,120,25,0.21,,,,,https://www.amazon.com/12V-Flexible-Silicone-Rubber-Heater/dp/B075WVPP5Y/ref=sr_1_17?crid=2YRJS7L8RR1GQ&dib=eyJ2IjoiMSJ9.ma83xQMMQTLbVFVfF9O9SYvA2DbLktJZmGhHpbzt6gsBmCzTEUvuRvPeXx301vSHFBG2WbGD9TYKEy1lAZpt0sELAyv8oh23_258sGPBUA0MJ4gg5XODlCok6vZ8PZWjzTYWjru9GMr-tI-P2Rl1G-JKM7BPanA_CgM53McUAKe696GzmV8imnpaoQtwwaNg2xvGDwe7wCpGnBgOnaJcvLjdHDwB0kcfkfip3VkF41gddPAv_jhbW-rGhVAL8KEuFG1IkiTYmLgWaULTxtYgQm0jx7TQtiVKI8xYktpltIw.rYQRUZQArTAP_tf3m_EK87SLtsk4BOd_1heUqpf-s8s&dib_tag=se&keywords=silicone%2Bheating%2Bpad&qid=1761860554&sprefix=silocone%2Bheating%2Bpad%2Caps%2C121&sr=8-17&th=1,,,,,,,,,,,,,,,,,,,,,,,,
E-86,Heating Pad,Bench,B-05,1,3.15,3.94,,120,25,0.21,,,,,https://www.amazon.com/12V-Flexible-Silicone-Rubber-Heater/dp/B075WVPP5Y/ref=sr_1_17?crid=2YRJS7L8RR1GQ&dib=eyJ2IjoiMSJ9.ma83xQMMQTLbVFVfF9O9SYvA2DbLktJZmGhHpbzt6gsBmCzTEUvuRvPeXx301vSHFBG2WbGD9TYKEy1lAZpt0sELAyv8oh23_258sGPBUA0MJ4gg5XODlCok6vZ8PZWjzTYWjru9GMr-tI-P2Rl1G-JKM7BPanA_CgM53McUAKe696GzmV8imnpaoQtwwaNg2xvGDwe7wCpGnBgOnaJcvLjdHDwB0kcfkfip3VkF41gddPAv_jhbW-rGhVAL8KEuFG1IkiTYmLgWaULTxtYgQm0jx7TQtiVKI8xYktpltIw.rYQRUZQArTAP_tf3m_EK87SLtsk4BOd_1heUqpf-s8s&dib_tag=se&keywords=silicone%2Bheating%2Bpad&qid=1761860554&sprefix=silocone%2Bheating%2Bpad%2Caps%2C121&sr=8-17&th=1,,,,,,,,,,,,,,,,,,,,,,,,
E-87,Deck Oven,Bench/Floor,B-05,1,24,24,27,120,600,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-88,Cartridge Oven,Bench/Floor,B-05,1,24,24,27,120,600,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-89,Galaxy Tablet,Bench,B-06,4,8,8,2,120,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROG Assume in Office space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-90,Cage,Floor,,,120,80,3,N/A,N/A,N/A,,wall partitioning office and ROG,Not Shown,,,,,,,,,,,,,,,,,,,,,,,,,,
E-91,file Cabinet 1,Floor/UC,,,36,18,30,N/A,N/A,N/A,,,Not Shown,,,,,,,,,,,,,,,,,,,,,,,,,,
E-92,file cabinet 2,Floor/UC,,,36,18,30,N/A,N/A,N/A,,,Not Shown,,,,,,,,,,,,,,,,,,,,,,,,,,
